studyId,genePanelId,nMutationRecords,nAffectedSpecimens,nAffectedSampleGenePairs,nAffectedGenes,recordSharePct,classification
ALL,ALL TARGETED PANELS,2508,1832,2422,292,100,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
sarcoma_msk_2022,FoundationOne,2076,1635,2037,145,82.77511962,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
bowel_colitis_msk_2022,FoundationOne,103,34,97,45,4.106858054,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
utuc_mskcc_2015,IMPACT341,70,25,52,30,2.791068581,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
skcm_vanderbilt_mskcc_2015,bait_v5,53,26,42,15,2.11323764,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
blca_msk_2024,IMPACT505,48,39,45,27,1.913875598,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
ucec_ccr_msk_2022,IMPACT410,47,8,40,24,1.87400319,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
rectal_radiation_msk_2024,IMPACT505,33,6,32,32,1.315789474,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
msk_impact_2017,IMPACT341,13,8,13,10,0.5183413078,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
blca_plasmacytoid_mskcc_2016,IMPACT410,11,8,11,10,0.4385964912,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
ucec_ccr_msk_2022,IMPACT341,11,1,11,11,0.4385964912,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
blca_msk_2025,IMPACT468,8,8,8,6,0.3189792663,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
escc_ucla_2014,UCLA_1202,4,4,4,4,0.1594896332,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
msk_impact_2017,IMPACT410,4,4,4,1,0.1594896332,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
prad_mskcc,prad_mskcc_sequenom,3,2,2,2,0.1196172249,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
rectal_msk_2022,IMPACT341,2,2,2,1,0.07974481659,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
utuc_msk_2019,IMPACT410,2,2,2,2,0.07974481659,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
tmb_mskcc_2018,IMPACT341,2,2,2,2,0.07974481659,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
bcc_unige_2016,bcc_unige_2016_cancer_panel,2,2,2,1,0.07974481659,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
paired_bladder_2022,IMPACT468,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
panet_msk_2018,IMPACT341,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
crc_orion_2024,DFCI-ONCOPANEL-3.1,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
prad_mskcc,prad_mskcc_sequenom_sanger,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
rectal_msk_2019,IMPACT468,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
hnc_mskcc_2016,IMPACT410,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
crc_eo_2020,IMPACT410,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
crc_eo_2020,IMPACT341,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
cfdna_msk_2019,IMPACT410,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
summit_2018,IMPACT341,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
difg_msk_2023,IMPACT468,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
breast_alpelisib_2020,FMI-T4b,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
blca_nmibc_2017,IMPACT410,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
urcc_mskcc_2016,IMPACT230,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
mixed_selpercatinib_2020,ACCESS129,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
glioma_msk_2018,IMPACT410,1,1,1,1,0.03987240829,assay-uncertain positive; excluded from mutation numerators and prevalence denominators
