metric,value,unit
portal_studies_examined,535,studies
studies_retained_after_screening,428,studies
input_study_sample_records,370924,records
studies_after_cross_study_specimen_reconciliation,378,studies
canonical_specimens,227245,specimens
studies_with_eligible_tissue_specimens,368,studies
eligible_tissue_specimens,144139,specimens
contributing_studies,367,studies
selected_tissue_tumours,132181,tumours
reviewed_cancer_families,89,families
detailed_oncotree_codes,673,codes
genes_in_compendium,1341,genes
documented_wes_wgs_tumours,54249,tumours
targeted_panel_tumours,77779,tumours
unverified_assay_tumours,153,tumours
potential_tumour_gene_observations,177254721,observations
callable_tumour_gene_observations,103915620,observations
unassayed_tumour_gene_observations,73339101,observations
mutation_positive_tumour_gene_observations,1185691,observations
callable_mutation_negative_observations,102729929,observations
