gene,adjustedEffect,adjustedFdr,nSensitisingCompounds,bestPrismCompound,bestPrismSensitisation,bestPrismFdr,crisprFdrSupported,prismFdrSupported
KRAS,-1.224490717,4.184744398e-61,15,RO-4987655,0.1342957313,1.198001759e-06,True,True
TP53,-0.4519189323,6.482253109e-45,2,(+)-CAMPTOTHECIN,0.07885342689,0.01576227218,True,True
NRAS,-1.35343868,1.819667028e-38,9,RO-4987655,0.161224232,0.007177086216,True,True
BRAF,-0.8209276894,5.273044127e-28,6,DABRAFENIB,0.1793753351,3.609678789e-07,True,True
PIK3CA,-0.5183522503,1.540887269e-24,9,COPANLISIB,0.1131886689,6.88344002e-12,True,True
CTNNB1,-0.6194710657,1.710978616e-09,23,IDASANUTLIN,0.1277079116,0.0001399585083,True,True
PTEN,-0.2528625691,2.671972149e-08,0,—,0,1,True,False
HRAS,-0.9395158264,1.158995154e-07,3,IODIPAMIDE,0.04812116429,0.0001155684042,True,True
PIK3R1,-0.3525729791,0.0007306334511,10,MLN0128,0.09963270315,0.0001985891701,True,True
NFE2L2,-0.4534211435,0.001185176564,2,FLI-06,0.05658397105,0.008664253753,True,True
FBXW7,-0.1512100089,0.001763282769,1,BERZOSERTIB,0.04437888813,0.04201961881,True,True
RB1,-0.1422333787,0.001788412514,3,JNJ-26854165,0.08674920487,1.596607755e-05,True,True
RAC1,-0.2862442598,0.003112051043,3,RKI-1447,0.04753655081,2.097499e-06,True,True
CREBBP,-0.1943129872,0.0128075502,12,PF-477736,0.2064836669,3.360441787e-05,True,True
RHOA,-0.2677265115,0.02949365694,6,CANERTINIB,0.1109080147,0.003797071755,True,True
ARID1A,0.135087004,0.03066663346,3,CAPMATINIB,0.0758329503,0.0001795129268,True,True
EGFR,-0.3959842547,0.1308702666,9,DIOSCIN,0.06064596095,4.2212864e-13,False,True
STK11,0.108162245,0.1887192742,6,EVEROLIMUS,0.1348972426,1.596607755e-05,False,True
