displayOrder,cancer,pair,geneA,geneB,displayLabel,noBurden_full_or,noBurden_full_ciLow,noBurden_full_ciHigh,noBurden_full_p,noBurden_full_fdr,leaveTwoOut_full_or,leaveTwoOut_full_ciLow,leaveTwoOut_full_ciHigh,leaveTwoOut_full_p,leaveTwoOut_full_fdr,totalBurden_full_or,totalBurden_full_ciLow,totalBurden_full_ciHigh,totalBurden_full_p,totalBurden_full_fdr,signStableNoBurdenLeaveTwoOut,effectStableNoBurdenLeaveTwoOut,noBurden_full_nInformativeStrata,leaveTwoOut_full_nInformativeStrata,totalBurden_full_nInformativeStrata,effectStabilityDefinition
0,LUAD,EGFR-KRAS,EGFR,KRAS,EGFR–KRAS (LUAD),0.02773275699,0.02105752066,0.03652404397,0,0,0.037421311,0.02856116216,0.04903002578,5.208005168e-267,1.687393674e-263,0.03443583726,0.02623716889,0.04519644984,6.760374523e-283,2.190361345e-279,True,True,40,150,152,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
1,LUAD,KEAP1-STK11,KEAP1,STK11,KEAP1–STK11 (LUAD),10.8291866,9.380517909,12.50157865,0,0,7.891973312,6.814052261,9.140411663,1.852783501e-234,3.001509272e-231,6.826822649,5.883021597,7.922035762,1.811334239e-178,2.934361468e-175,True,True,40,127,111,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
2,LUAD,KRAS-TP53,KRAS,TP53,KRAS–TP53 (LUAD),0.5534738168,0.5046336039,0.6070409571,8.203037852e-37,1.661115165e-34,0.4034731164,0.3643981723,0.4467381234,5.632686786e-72,4.562476296e-69,0.3014616601,0.2705481262,0.3359074548,6.133690157e-112,6.62438537e-109,True,True,41,163,153,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
3,LUAD,STK11-TP53,STK11,TP53,STK11–TP53 (LUAD),0.5360673779,0.4733076017,0.6071489927,2.434581469e-23,1.360007579e-21,0.3797659346,0.3315532513,0.434989446,1.268456602e-46,4.566443769e-44,0.2864089011,0.2491814607,0.3291980808,3.981724429e-73,2.58015743e-70,True,True,41,138,124,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
4,COADREAD,BRAF-KRAS,BRAF,KRAS,BRAF–KRAS (COADREAD),0.1469247708,0.120739612,0.1787887829,2.538202513e-106,2.464829263e-105,0.1278406598,0.1035903058,0.1577679896,5.506789448e-108,3.181822943e-104,0.1024895066,0.08295411625,0.1266254097,1.350862553e-135,7.805283834e-132,True,True,67,159,144,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
5,SKCM,BRAF-NRAS,BRAF,NRAS,BRAF–NRAS (SKCM),0.09240501718,0.07216661282,0.1183190795,7.96402435e-108,4.601613269e-104,0.08620186316,0.06655808971,0.1116432464,3.930901103e-118,2.271274657e-114,0.08146952441,0.06311283454,0.1051653512,3.192881487e-118,1.844846923e-114,True,True,45,133,117,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
6,UCEC,PIK3CA-PIK3R1,PIK3CA,PIK3R1,PIK3CA–PIK3R1 (UCEC),0.2016853167,0.1746697611,0.2328792731,3.159021378e-118,2.958197877e-116,0.1330274447,0.1123456753,0.1575165311,1.871994776e-146,1.227092576e-142,0.1120015724,0.09429947668,0.1330267428,7.351870072e-168,4.819150832e-164,True,True,66,151,140,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
7,UCEC,PTEN-TP53,PTEN,TP53,PTEN–TP53 (UCEC),0.3798789687,0.3217569313,0.4485001467,8.267977564e-32,2.131206958e-31,0.4123244893,0.3408620799,0.4987691341,7.70953172e-21,3.771341823e-19,0.3576373114,0.2936536223,0.4355622978,4.377960752e-26,1.242317434e-24,True,True,59,129,117,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
8,UCEC,CTNNB1-TP53,CTNNB1,TP53,CTNNB1–TP53 (UCEC),0.3703724491,0.2976144245,0.4609176832,2.754334243e-20,4.592892639e-20,0.4137697655,0.3322868018,0.5152338819,5.268210091e-17,1.338492913e-15,0.4189728867,0.3365778734,0.5215383828,1.724277985e-16,1.580789118e-15,True,True,42,89,87,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
9,BRCA,PIK3CA-TP53,PIK3CA,TP53,PIK3CA–TP53 (BRCA),0.600695303,0.5542578775,0.6510233984,7.573827069e-36,2.847758978e-33,0.5872256772,0.5407574796,0.6376869649,3.006632897e-37,1.130493969e-34,0.4309910018,0.3944214737,0.4709511425,1.149235003e-78,1.296337083e-75,True,True,93,280,273,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
10,PAAD,KRAS-TP53,KRAS,TP53,KRAS–TP53 (PAAD),6.124928341,5.079172037,7.385996557,6.061953479e-98,1.400311254e-95,4.868539266,4.003985099,5.919770927,1.425910752e-67,3.293853837e-65,3.044918111,2.462591853,3.764946389,3.519362065e-30,4.064863185e-28,True,True,37,102,94,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
11,MPN,CALR-JAK2,CALR,JAK2,CALR–JAK2 (MPN),0.007134794567,0.001997848915,0.02548005164,6.004882276e-41,2.702197024e-39,0.002859716775,0.0003639454944,0.02247034283,2.643214135e-40,1.189446361e-38,0.006157028224,0.001463281726,0.02590683384,4.264259271e-38,1.918916672e-36,True,True,12,28,28,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
12,AML,NPM1-RUNX1,NPM1,RUNX1,NPM1–RUNX1 (AML),0.09400139364,0.0462806614,0.1909277382,6.421581682e-16,1.225938321e-14,0.06811537862,0.03303617534,0.1404431584,4.206042082e-21,1.766537674e-19,0.03921632885,0.01779459339,0.08642627649,1.275440615e-28,2.678425291e-26,True,True,17,34,29,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
13,MDS,SF3B1-SRSF2,SF3B1,SRSF2,SF3B1–SRSF2 (MDS),0.1482299543,0.1036354618,0.2120135228,5.972315541e-33,2.723375887e-31,0.1601655881,0.1113069481,0.230470928,6.754390953e-29,3.422224749e-27,0.1104311691,0.07609520028,0.1602603458,1.486970591e-42,6.780585895e-40,True,True,11,31,27,"same direction and within two-fold OR, or all estimates are strong (|log2 OR| >= 2) in the same direction"
