gene,entrezGeneId,roleInCancer,nProfiled,nMutated,freqPct,freqCiLowPct,freqCiHighPct,pctCuratedSamplesProfilingGene
ATRX,546,TSGs,128277,5208,4.059963984,3.953329819,4.169349562,97.04647415
FAM135B,51059,Other,54368,2225,4.092480871,3.929167235,4.262281388,41.13147881
CREBBP,1387,TSGs,128347,5329,4.152025369,4.044252398,4.26254274,97.09943184
ZFHX3,463,TSGs,109460,4703,4.296546684,4.178014059,4.418287088,82.8106914
BRAF,673,Oncogenes,131971,5755,4.360806541,4.251946694,4.472323274,99.84112694
RB1,5925,TSGs,131288,5851,4.456614466,4.34632162,4.569572413,99.32441122
EGFR,1956,Oncogenes,131369,5944,4.524659547,4.41358982,4.638388753,99.38569083
NF1,4763,TSGs,131250,6545,4.986666667,4.870218963,5.105749216,99.29566277
FAT1,2195,TSGs,122556,6128,5.000163191,4.879546478,5.123600811,92.71831806
ATM,472,TSGs,123472,6251,5.062686277,4.941793335,5.18637531,93.41130722
PTEN,5728,TSGs,131849,8125,6.162352388,6.033826137,6.293433009,99.74882926
PCLO,27445,Other,54368,3434,6.316215421,6.114812153,6.523791349,41.13147881
KMT2C,58508,TSGs,122873,7848,6.387082597,6.2517192,6.525172908,92.95814073
FAT4,79633,Other,54359,3606,6.633676116,6.427514422,6.845966627,41.12466996
FAT3,120114,Other,54527,3790,6.950684982,6.740245473,7.167189762,41.25176841
CSMD3,114788,TSGs,54508,4087,7.497981948,7.279876272,7.722077873,41.23739418
ARID1A,8289,TSGs,128817,10788,8.374671045,8.224639361,8.527185277,97.45500488
KMT2D,8085,TSGs,123053,10521,8.549974401,8.395031152,8.707505537,93.09431764
LRP1B,53353,TSGs,62360,5719,9.170942912,8.946926785,9.399988977,47.17773356
APC,324,TSGs,126068,11603,9.203763049,9.045429654,9.364582598,95.37528086
MUC16,94025,Oncogenes,56812,6260,11.01879885,10.76394919,11.27891973,42.98045861
PIK3CA,5290,Oncogenes,129492,14362,11.09103265,10.92115036,11.26322339,97.96566829
KRAS,3845,Oncogenes,131979,16665,12.62700884,12.44889736,12.80729587,99.84717925
TP53,7157,TSGs,131946,49368,37.41530626,37.15457509,37.67677019,99.82221348
