datasetId,context,scope,cancer,geneA,geneB,nPatients,nEvents,nStudies,nStrata,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,contrast,sampleRestriction,unclassifiedSpecimensRetained,baselineHazards,tiesMethod,fitStatus,fdr,fdrFamily
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,3789,1060,10,10,0.9055151583,0.09892879699,2.473205687,2.037285489,3.002400206,5.527104092e-20,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,6.671128293e-19,scope=cancer-specific
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,1152,458,8,8,0.2216322117,0.5817664312,1.248112252,0.3990737505,3.903499523,0.7032297767,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,0.8114189731,scope=cancer-specific
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,2259,958,10,10,1.121589006,0.1232288422,3.069728146,2.411056211,3.908341435,8.894837723e-20,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,6.671128293e-19,scope=cancer-specific
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,4256,821,10,10,0.07462436407,0.1095456957,1.077479335,0.8692875992,1.335532358,0.4957343438,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,0.7216298553,scope=cancer-specific
cancer-specific_UCEC_PTEN_PIK3CA_positive,PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,2090,327,6,6,-1.265767556,0.1625581758,0.2820227448,0.2050757767,0.3878411673,6.886303254e-15,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,2.58236372e-14,scope=cancer-specific
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,1958,1237,7,7,-0.8074790818,0.2182654134,0.4459809317,0.2907558314,0.6840756744,0.0002160005237,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,0.0004050009819,scope=cancer-specific
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,6029,1763,7,7,0.6610890501,0.07710480785,1.936900568,1.665235248,2.252885179,1.000367428e-17,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,5.00183714e-17,scope=cancer-specific
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,3789,1060,10,10,-0.2691422676,0.580309405,0.7640345505,0.2449924706,2.382721367,0.6427975064,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,0.803496883,scope=cancer-specific
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,3789,1060,10,10,0.5695016706,0.106875639,1.767386091,1.433371365,2.179235384,9.895159406e-08,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,2.473789851e-07,scope=cancer-specific
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,3789,1060,10,10,0.8869455149,0.1274849566,2.427702932,1.89095046,3.116814349,3.469634573e-12,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,1.040890372e-11,scope=cancer-specific
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,4256,821,10,10,0.2025369034,0.3218780071,1.224505273,0.65159479,2.301143573,0.5291952272,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,0.7216298553,scope=cancer-specific
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,448,89,7,7,-16.07412824,3279.84856,1.0449483e-07,0,inf,0.9960896831,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated with warning: Loglik converged before variable  3 ; coefficient may be infinite. ,0.9960896831,scope=cancer-specific
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,2090,327,6,6,-1.247946471,0.3044226815,0.2870937474,0.1580879173,0.5213733043,4.142453469e-05,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,8.876686004e-05,scope=cancer-specific
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,2090,327,6,6,0.2542748302,0.2399631289,1.289526156,0.8056996407,2.063892825,0.2893078392,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,0.482179732,scope=cancer-specific
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,2090,327,6,6,0.03608247698,0.4246210176,1.03674135,0.4510579639,2.382914644,0.932280693,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,estimated,0.9960896831,scope=cancer-specific
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,133,46,1,1,,,,,,,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study,Efron,non-varying genotype covariate,,
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,37056,10065,59,161,0.7234215567,0.08651115738,2.06147461,1.739961182,2.442397917,6.157170045e-17,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,2.668107019e-16,scope=pan-cancer
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,44667,13063,87,268,0.51371431,0.0428713838,1.671488104,1.536777885,1.818006695,4.379044662e-33,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,5.692758061e-32,scope=pan-cancer
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,43184,12609,77,232,-0.2908358112,0.08191307185,0.7476384218,0.6367472513,0.8778415747,0.0003844386248,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,0.0007139574461,scope=pan-cancer
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,42650,11907,85,264,-0.3771116374,0.1061238445,0.6858395043,0.5570442769,0.8444137121,0.0003801336247,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,0.0007139574461,scope=pan-cancer
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,44615,13039,87,265,0.430706607,0.04059974441,1.538344144,1.420675653,1.665758614,2.717795371e-26,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,1.766566991e-25,scope=pan-cancer
pan-cancer_PAN-CANCER_EGFR_KRAS_positive,EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,43368,12689,76,232,-0.03865950649,0.1887880728,0.9620782348,0.6645286212,1.392858788,0.8377461452,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,0.8377461452,scope=pan-cancer
pan-cancer_PAN-CANCER_STK11_TP53_positive,STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,44634,13041,86,265,0.6416037901,0.08150709231,1.899524877,1.61907148,2.228558036,3.497029322e-15,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,1.13653453e-14,scope=pan-cancer
pan-cancer_PAN-CANCER_BRAF_KRAS_positive,BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,43121,12494,74,224,-0.06900526402,0.1756913388,0.933321767,0.661428122,1.316982892,0.6944936657,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,0.7523681378,scope=pan-cancer
pan-cancer_PAN-CANCER_BRAF_NRAS_positive,BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,43208,12587,68,205,-0.2146519589,0.3032743206,0.8068221986,0.4452770062,1.461926062,0.4790809456,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,0.6228052293,scope=pan-cancer
pan-cancer_PAN-CANCER_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,42694,12439,76,222,-0.446969689,0.1392566941,0.6395632938,0.4867971395,0.8402703581,0.001328819434,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,0.00215933158,scope=pan-cancer
pan-cancer_PAN-CANCER_PTEN_TP53_positive,PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,44605,13036,86,265,0.3007704174,0.05233707492,1.350899163,1.219196013,1.496829492,9.095112293e-09,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,2.364729196e-08,scope=pan-cancer
pan-cancer_PAN-CANCER_CTNNB1_TP53_positive,CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,42671,11900,85,265,0.03811555186,0.09533178877,1.038851267,0.8618006318,1.25227566,0.6892891291,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,0.7523681378,scope=pan-cancer
pan-cancer_PAN-CANCER_SF3B1_SRSF2_positive,SF3B1–SRSF2 (pan-cancer),pan-cancer,PAN-CANCER,SF3B1,SRSF2,39564,10894,67,187,0.3648231356,0.4506951123,1.440259255,0.5953992723,3.483959115,0.4182461751,A+B versus A−/B−,sampleTypeGroup exactly equal to Primary,False,study × cancer group,Efron,estimated,0.604133364,scope=pan-cancer
